GISJOIN,STATE,STATEA,COUNTY,COUNTYA,A08AA1820,A08AA1830,A08AA1840,A08AA1850,A08AA1860,A08AA1870,A08AA1880,A08AA1890,A08AA1900,A08AA1910,A08AA1920,A08AA1930,A08AA1940,A08AA1950,A08AA1960,A08AA1970,A08AA1980,A08AA1990,A08AA2000,A08AA2010,A08AB1820,A08AB1830,A08AB1840,A08AB1850,A08AB1860,A08AB1870,A08AB1880,A08AB1890,A08AB1900,A08AB1910,A08AB1920,A08AB1930,A08AB1940,A08AB1950,A08AB1960,A08AB1970,A08AB1980,A08AB1990,A08AB2000,A08AB2010
"G4802330","Texas","480","Hutchinson County","2330",,,,,,,38,41,181,489,404,8041,9870,16233,17331,12003,13089,12680,11745,11077,,,,,,,12,17,122,403,317,6807,9199,15347,17088,12440,13215,13009,12112,11073
"G4802350","Texas","480","Irion County","2350",,,,,,,,489,442,669,853,1061,997,844,625,535,694,811,887,807,,,,,,,,381,406,614,757,988,966,746,558,535,692,818,884,792
"G4802370","Texas","480","Jack County","2370",,,,,545,374,3574,5067,5298,6161,5089,4649,5306,3898,3652,3245,3598,3404,4787,5030,,,,,455,320,3052,4673,4926,5656,4774,4397,4900,3857,3766,3466,3810,3577,3976,4014
"G4802390","Texas","480","Jackson County","2390",,,,551,1412,1164,1393,1647,3152,3352,5818,5796,6063,6569,7001,6335,6540,6279,7076,6947,,,,445,1200,1114,1330,1634,2942,3119,5426,5184,5657,6347,7039,6640,6812,6760,7315,7128
"G4802410","Texas","480","Jasper County","2410",,,,929,2105,2055,2919,2860,3603,7524,8167,8828,8973,10026,11004,12044,14936,14865,17308,17543,,,,838,1932,2163,2860,2732,3535,6476,7402,8236,8518,10023,11096,12648,15845,16237,18296,18167
"G4802430","Texas","480","Jeff Davis County","2430",,,,,,,,836,642,894,741,947,1249,1185,816,758,814,1001,1128,1187,,,,,,,,558,508,784,704,853,1126,905,766,769,833,945,1079,1155
"G4802450","Texas","480","Jefferson County","2450",,,,988,1140,956,1826,3120,7770,20918,38516,68506,72267,96382,120724,118683,121590,114849,126689,128946,,,,848,855,950,1663,2737,6469,17264,34604,64885,73062,98701,124935,126090,129348,124548,125362,123327
"G4802470","Texas","480","Jim Hogg County","2470",,,,,,,,,,,963,2547,2794,2704,2475,2253,2516,2496,2596,2616,,,,,,,,,,,951,2372,2655,2685,2547,2401,2652,2613,2685,2684
"G4802490","Texas","480","Jim Wells County","2490",,,,,,,,,,,3377,7030,10488,14179,17150,16040,17976,18539,19180,20107,,,,,,,,,,,3210,6426,9751,13812,17398,16992,18522,19140,20146,20731
"G4802510","Texas","480","Johnson County","2510",,,,,2280,2575,9529,11832,17652,17579,19088,16755,15124,15446,17022,22301,33030,48152,63314,75519,,,,,2025,2348,8382,10481,16167,16881,18198,16562,15260,15944,17698,23468,34619,49013,63497,75415
"G4802530","Texas","480","Jones County","2530",,,,,,,320,2090,3768,12711,11561,12296,11880,11107,9459,7717,8270,7889,12474,12383,,,,,,,226,1707,3285,11588,10762,11937,11498,11040,9840,8389,8998,8601,8311,7819
"G4802550","Texas","480","Karnes County","2550",,,,,1221,959,1742,1897,4611,7818,9957,12241,9887,8742,7428,6545,6587,5947,9173,8842,,,,,950,746,1528,1740,4070,7124,9092,11075,9361,8397,7567,6917,7006,6508,6273,5982
"G4802570","Texas","480","Kaufman County","2570",,,,557,2048,3554,8191,11332,17610,18139,21051,20997,19274,15309,14509,15477,18884,25530,35184,50811,,,,490,1888,3341,7257,10266,15766,17184,20225,19908,19034,15861,15422,16915,20131,26690,36129,52539
"G4802590","Texas","480","Kendall County","2590",,,,,,817,1492,2010,2088,2304,2446,2572,2598,2729,2903,3367,5118,7098,11568,16299,,,,,,719,1271,1816,2015,2213,2333,2398,2482,2694,2986,3597,5517,7491,12175,17111
"G4802610","Texas","480","Kenedy County","2610",,,,,,,,,,,,422,389,348,490,352,272,225,217,212,,,,,,,,,,,,279,311,284,394,326,271,235,197,204
"G4802630","Texas","480","Kent County","2630",,,,,,,68,184,479,1439,1792,2025,1767,1126,861,735,582,485,411,392,,,,,,,24,140,420,1216,1543,1826,1646,1123,866,699,563,525,448,416
"G4802650","Texas","480","Kerr County","2650",,,,,372,598,1145,2369,2599,2824,2995,5344,5918,7037,8163,9152,13555,17174,20921,24068,,,,,262,444,1023,2093,2381,2681,2847,4807,5732,6985,8637,10302,15225,19130,22732,25557
