GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,NAME,A08AA,A08AB
"G2101010","1820","Kentucky","210","Henderson","1010","Henderson",2945,2769
"G2101030","1820","Kentucky","210","Henry","1030","Henry",5472,5344
"G2101070","1820","Kentucky","210","Hopkins","1070","Hopkins",2684,2638
"G2101110","1820","Kentucky","210","Jefferson","1110","Jefferson",11263,9503
"G2101130","1820","Kentucky","210","Jessamine","1130","Jessamine",4842,4455
"G2101210","1820","Kentucky","210","Knox","1210","Knox",1860,1801
"G2101350","1820","Kentucky","210","Lewis","1350","Lewis",2058,1915
"G2101370","1820","Kentucky","210","Lincoln","1370","Lincoln",5045,4928
"G2101390","1820","Kentucky","210","Livingston","1390","Livingston",3001,2823
"G2101410","1820","Kentucky","210","Logan","1410","Logan",7547,6876
"G2101510","1820","Kentucky","210","Madison","1510","Madison",8146,7808
"G2101610","1820","Kentucky","210","Mason","1610","Mason",7164,6424
"G2101670","1820","Kentucky","210","Mercer","1670","Mercer",8015,7472
"G2101710","1820","Kentucky","210","Monroe","1710","Monroe",2531,2425
"G2101730","1820","Kentucky","210","Montgomery","1730","Montgomery",4840,4747
"G2101770","1820","Kentucky","210","Muhlenberg","1770","Muhlenberg",2522,2457
"G2101790","1820","Kentucky","210","Nelson","1790","Nelson",8560,7713
"G2101810","1820","Kentucky","210","Nicholas","1810","Nicholas",3970,4003
"G2101830","1820","Kentucky","210","Ohio","1830","Ohio",2046,1833
"G2101870","1820","Kentucky","210","Owen","1870","Owen",1041,990
"G2101910","1820","Kentucky","210","Pendleton","1910","Pendleton",1580,1506
"G2101990","1820","Kentucky","210","Pulaski","1990","Pulaski",3910,3687
"G2102030","1820","Kentucky","210","Rockcastle","2030","Rockcastle",1111,1138
"G2102090","1820","Kentucky","210","Scott","2090","Scott",7397,6822
"G2102110","1820","Kentucky","210","Shelby","2110","Shelby",10645,10402
"G2102130","1820","Kentucky","210","Simpson","2130","Simpson",2417,2435
"G2102190","1820","Kentucky","210","Todd","2190","Todd",2588,2501
"G2102210","1820","Kentucky","210","Trigg","2210","Trigg",2036,1838
"G2102250","1820","Kentucky","210","Union","2250","Union",1810,1660
"G2102270","1820","Kentucky","210","Warren","2270","Warren",6186,5590
"G2102290","1820","Kentucky","210","Washington","2290","Washington",8050,7897
"G2102310","1820","Kentucky","210","Wayne","2310","Wayne",4020,3931
"G2102350","1820","Kentucky","210","Whitley","2350","Whitley",1210,1130
"G2102390","1820","Kentucky","210","Woodford","2390","Woodford",6189,6018
"G2200050","1820","Louisiana","220","Ascension","0050","Ascension",2043,1685
"G2200070","1820","Louisiana","220","Assumption","0070","Assumption",1829,1747
"G2200075","1820","Louisiana","220","Attakapas","0075","Attakapas",6423,5640
"G2200090","1820","Louisiana","220","Avoyelles","0090","Avoyelles",1228,1017
"G2200250","1820","Louisiana","220","Catahoula","0250","Catahoula",1270,1017
"G2200290","1820","Louisiana","220","Concordia","0290","Concordia",1424,1202
"G2200330","1820","Louisiana","220","East Baton Rouge","0330","East Baton Rouge",2530,2278
"G2200470","1820","Louisiana","220","Iberville","0470","Iberville",2436,1978
"G2200570","1820","Louisiana","220","Lafourche","0570","Lafourche",2030,1718
"G2200690","1820","Louisiana","220","Natchitoches","0690","Natchitoches",4050,3436
"G2200710","1820","Louisiana","220","Orleans","0710","Orleans",21841,19510
"G2200730","1820","Louisiana","220","Ouachita","0730","Ouachita",1532,1364
"G2200750","1820","Louisiana","220","Plaquemines","0750","Plaquemines",1339,1015
"G2200770","1820","Louisiana","220","Pointe Coupee","0770","Pointe Coupee",2656,2256
"G2200790","1820","Louisiana","220","Rapides","0790","Rapides",3347,2718
"G2200870","1820","Louisiana","220","St Bernard","0870","St Bernard",1562,1073
"G2200890","1820","Louisiana","220","St Charles","0890","St Charles",2307,1555
"G2200910","1820","Louisiana","220","St Helena","0910","St Helena",1610,1416
"G2200930","1820","Louisiana","220","St James","0930","St James",3029,2631
"G2200950","1820","Louisiana","220","St John The Baptist","0950","St John The Baptist",2170,1684
"G2200970","1820","Louisiana","220","St Landry","0970","St Landry",5345,4740
"G2201030","1820","Louisiana","220","St Tammany","1030","St Tammany",981,742
"G2201170","1820","Louisiana","220","Washington","1170","Washington",1395,1122
"G2201210","1820","Louisiana","220","West Baton Rouge","1210","West Baton Rouge",1300,1035
"G2201250","1820","Louisiana","220","West Feliciana","1250","West Feliciana",6730,5937
"G2300050","1820","Maine","230","Cumberland","0050","Cumberland",24208,25171
"G2300090","1820","Maine","230","Hancock","0090","Hancock",15985,15305
"G2300110","1820","Maine","230","Kennebec","0110","Kennebec",21487,21136
"G2300150","1820","Maine","230","Lincoln","0150","Lincoln",26633,26556
"G2300170","1820","Maine","230","Oxford","0170","Oxford",13721,13383
"G2300190","1820","Maine","230","Penobscot","0190","Penobscot",7168,6702
"G2300250","1820","Maine","230","Somerset","0250","Somerset",11035,10752
"G2300290","1820","Maine","230","Washington","0290","Washington",6794,5950
"G2300310","1820","Maine","230","York","0310","York",22601,23682
"G2400010","1820","Maryland","240","Allegany","0010","Allegany",4581,4073
"G2400030","1820","Maryland","240","Anne Arundel","0030","Anne Arundel",13944,13221
"G2400050","1820","Maryland","240","Baltimore","0050","Baltimore",17301,16162
"G2400090","1820","Maryland","240","Calvert","0090","Calvert",4071,4002
"G2400110","1820","Maryland","240","Caroline","0110","Caroline",5118,4990
"G2400150","1820","Maryland","240","Cecil","0150","Cecil",8368,7680
"G2400170","1820","Maryland","240","Charles","0170","Charles",8164,8336
"G2400190","1820","Maryland","240","Dorchester","0190","Dorchester",9022,8737
"G2400210","1820","Maryland","240","Frederick","0210","Frederick",20838,19621
"G2400250","1820","Maryland","240","Harford","0250","Harford",8208,7716
"G2400290","1820","Maryland","240","Kent","0290","Kent",5951,5502
"G2400310","1820","Maryland","240","Montgomery","0310","Montgomery",8419,7981
"G2400330","1820","Maryland","240","Prince Georges","0330","Prince Georges",10369,9847
"G2400350","1820","Maryland","240","Queen Anne's","0350","Queen Anne's",7694,7258
"G2400370","1820","Maryland","240","St Mary's","0370","St Mary's",6508,6466
"G2400390","1820","Maryland","240","Somerset","0390","Somerset",9893,9686
"G2400410","1820","Maryland","240","Talbot","0410","Talbot",7190,7199
"G2400430","1820","Maryland","240","Washington","0430","Washington",12037,11038
"G2400470","1820","Maryland","240","Worcester","0470","Worcester",8933,8488
"G2405100","1820","Maryland","240","Baltimore City","5100","Baltimore City",30253,32485
"G2500010","1820","Massachusetts","250","Barnstable","0010","Barnstable",11863,12163
"G2500030","1820","Massachusetts","250","Berkshire","0030","Berkshire",17681,18039
"G2500050","1820","Massachusetts","250","Bristol","0050","Bristol",19617,21291
"G2500070","1820","Massachusetts","250","Dukes","0070","Dukes",1593,1699
"G2500090","1820","Massachusetts","250","Essex","0090","Essex",35544,39111
"G2500110","1820","Massachusetts","250","Franklin","0110","Franklin",14443,14825
"G2500130","1820","Massachusetts","250","Hampden","0130","Hampden",13966,14055
"G2500150","1820","Massachusetts","250","Hampshire","0150","Hampshire",13142,13345
"G2500170","1820","Massachusetts","250","Middlesex","0170","Middlesex",30553,30919
"G2500190","1820","Massachusetts","250","Nantucket","0190","Nantucket",3478,3761
"G2500210","1820","Massachusetts","250","Norfolk","0210","Norfolk",17577,18894
"G2500230","1820","Massachusetts","250","Plymouth","0230","Plymouth",18329,19777
"G2500250","1820","Massachusetts","250","Suffolk","0250","Suffolk",21204,22686
"G2500270","1820","Massachusetts","250","Worcester","0270","Worcester",36472,37132
"G2650035","1820","Michigan Territory","265","Brown","0035","Brown",786,166
"G2650095","1820","Michigan Territory","265","Crawford","0095","Crawford",250,111
"G2650215","1820","Michigan Territory","265","Macomb","0215","Macomb",467,431
"G2650235","1820","Michigan Territory","265","Michilimackinac","0235","Michilimackinac",664,155
"G2650255","1820","Michigan Territory","265","Monroe","0255","Monroe",1020,811
"G2650275","1820","Michigan Territory","265","Oakland","0275","Oakland",205,125
"G2650375","1820","Michigan Territory","265","Wayne","0375","Wayne",2096,1478
"G2800010","1820","Mississippi","280","Adams","0010","Adams",6458,5618
"G2800050","1820","Mississippi","280","Amite","0050","Amite",3593,3260
"G2800210","1820","Mississippi","280","Claiborne","0210","Claiborne",3190,2773
"G2800310","1820","Mississippi","280","Covington","0310","Covington",1140,1090
"G2800370","1820","Mississippi","280","Franklin","0370","Franklin",1955,1866
"G2800410","1820","Mississippi","280","Greene","0410","Greene",747,698
"G2800450","1820","Mississippi","280","Hancock","0450","Hancock",933,661
"G2800590","1820","Mississippi","280","Jackson","0590","Jackson",889,793
"G2800630","1820","Mississippi","280","Jefferson","0630","Jefferson",3903,2919
"G2800770","1820","Mississippi","280","Lawrence","0770","Lawrence",2771,2145
"G2800910","1820","Mississippi","280","Marion","0910","Marion",1680,1436
"G2800950","1820","Mississippi","280","Monroe","0950","Monroe",1475,1246
"G2801110","1820","Mississippi","280","Perry","1110","Perry",1048,989
"G2801130","1820","Mississippi","280","Pike","1130","Pike",2306,2132
"G2801490","1820","Mississippi","280","Warren","1490","Warren",1494,1199
"G2801530","1820","Mississippi","280","Wayne","1530","Wayne",1695,1628
"G2801570","1820","Mississippi","280","Wilkinson","1570","Wilkinson",5098,4620
"G2950015","1820","Missouri Territory","295","Cape Girardeau","0015","Cape Girardeau",3115,2853
"G2950035","1820","Missouri Territory","295","Cooper","0035","Cooper",3740,3219
"G2950055","1820","Missouri Territory","295","Franklin","0055","Franklin",1301,1078
"G2950075","1820","Missouri Territory","295","Howard","0075","Howard",7220,6206
"G2950095","1820","Missouri Territory","295","Jefferson","0095","Jefferson",986,849
"G2950115","1820","Missouri Territory","295","Lincoln","0115","Lincoln",925,737
"G2950135","1820","Missouri Territory","295","Madison","0135","Madison",1087,960
"G2950155","1820","Missouri Territory","295","Montgomery","0155","Montgomery",1694,1380
"G2950175","1820","Missouri Territory","295","New Madrid","0175","New Madrid",1217,1079
"G2950195","1820","Missouri Territory","295","Pike","0195","Pike",2109,1638
"G2950215","1820","Missouri Territory","295","St Charles","0215","St Charles",2209,1761
"G2950235","1820","Missouri Territory","295","Ste Genevieve","0235","Ste Genevieve",2630,2332
"G2950255","1820","Missouri Territory","295","St Louis","0255","St Louis",5924,4096
"G2950275","1820","Missouri Territory","295","Washington","0275","Washington",1514,1255
"G2950295","1820","Missouri Territory","295","Wayne","0295","Wayne",857,586
"G3300050","1820","New Hampshire","330","Cheshire","0050","Cheshire",22311,23065
"G3300070","1820","New Hampshire","330","Coos","0070","Coos",2738,2811
"G3300090","1820","New Hampshire","330","Grafton","0090","Grafton",16440,16549
"G3300110","1820","New Hampshire","330","Hillsborough","0110","Hillsborough",26264,27620
"G3300150","1820","New Hampshire","330","Rockingham","0150","Rockingham",26886,28221
"G3300170","1820","New Hampshire","330","Strafford","0170","Strafford",24943,26174
"G3400030","1820","New Jersey","340","Bergen","0030","Bergen",9285,8853
"G3400050","1820","New Jersey","340","Burlington","0050","Burlington",14233,14589
"G3400090","1820","New Jersey","340","Cape May","0090","Cape May",2226,2039
"G3400110","1820","New Jersey","340","Cumberland","0110","Cumberland",6324,6344
"G3400130","1820","New Jersey","340","Essex","0130","Essex",15434,15359
"G3400150","1820","New Jersey","340","Gloucester","0150","Gloucester",11921,11150
"G3400190","1820","New Jersey","340","Hunterdon","0190","Hunterdon",14161,14352
"G3400230","1820","New Jersey","340","Middlesex","0230","Middlesex",10673,10797
"G3400250","1820","New Jersey","340","Monmouth","0250","Monmouth",12782,12256
"G3400270","1820","New Jersey","340","Morris","0270","Morris",10681,10687
"G3400330","1820","New Jersey","340","Salem","0330","Salem",7167,6855
"G3400350","1820","New Jersey","340","Somerset","0350","Somerset",8351,8155
"G3400370","1820","New Jersey","340","Sussex","0370","Sussex",16785,15967
"G3600010","1820","New York","360","Albany","0010","Albany",18939,19177
"G3600030","1820","New York","360","Allegany","0030","Allegany",4933,4397
"G3600070","1820","New York","360","Broome","0070","Broome",7359,6984
"G3600090","1820","New York","360","Cattaraugus","0090","Cattaraugus",2252,1838
"G3600110","1820","New York","360","Cayuga","0110","Cayuga",19998,18899
"G3600130","1820","New York","360","Chautauqua","0130","Chautauqua",6596,5972
"G3600170","1820","New York","360","Chenango","0170","Chenango",15854,15361
"G3600190","1820","New York","360","Clinton","0190","Clinton",6558,5512
"G3600210","1820","New York","360","Columbia","0210","Columbia",18977,19353
"G3600230","1820","New York","360","Cortland","0230","Cortland",8403,8104
"G3600250","1820","New York","360","Delaware","0250","Delaware",13517,13070
"G3600270","1820","New York","360","Dutchess","0270","Dutchess",23521,23094
"G3600310","1820","New York","360","Essex","0310","Essex",6603,6208
"G3600330","1820","New York","360","Franklin","0330","Franklin",2361,2078
"G3600370","1820","New York","360","Genesee","0370","Genesee",30330,27735
"G3600390","1820","New York","360","Greene","0390","Greene",11656,11340
"G3600410","1820","New York","360","Hamilton","0410","Hamilton",668,583
"G3600430","1820","New York","360","Herkimer","0430","Herkimer",15784,15161
"G3600450","1820","New York","360","Jefferson","0450","Jefferson",17679,15273
"G3600470","1820","New York","360","Kings","0470","Kings",5841,5346
"G3600490","1820","New York","360","Lewis","0490","Lewis",4842,4385
"G3600530","1820","New York","360","Madison","0530","Madison",16367,15841
"G3600570","1820","New York","360","Montgomery","0570","Montgomery",18950,18611
"G3600610","1820","New York","360","New York","0610","New York",59683,64023
"G3600630","1820","New York","360","Niagara","0630","Niagara",12238,10752
"G3600650","1820","New York","360","Oneida","0650","Oneida",25886,25111
"G3600670","1820","New York","360","Onondaga","0670","Onondaga",21228,20239
"G3600690","1820","New York","360","Ontario","0690","Ontario",45289,42978
"G3600710","1820","New York","360","Orange","0710","Orange",20939,20274
"G3600750","1820","New York","360","Oswego","0750","Oswego",6522,5852
"G3600770","1820","New York","360","Otsego","0770","Otsego",22426,22430
"G3600790","1820","New York","360","Putnam","0790","Putnam",5664,5604
"G3600810","1820","New York","360","Queens","0810","Queens",10921,10598
"G3600830","1820","New York","360","Rensselaer","0830","Rensselaer",20037,20077
"G3600850","1820","New York","360","Richmond","0850","Richmond",3209,2926
"G3600870","1820","New York","360","Rockland","0870","Rockland",4530,4307
"G3600890","1820","New York","360","St Lawrence","0890","St Lawrence",8513,7524
"G3600910","1820","New York","360","Saratoga","0910","Saratoga",18118,17934
"G3600930","1820","New York","360","Schenectady","0930","Schenectady",6567,6309
"G3600950","1820","New York","360","Schoharie","0950","Schoharie",11878,11269
"G3600990","1820","New York","360","Seneca","0990","Seneca",12119,11500
"G3601010","1820","New York","360","Steuben","1010","Steuben",11550,10439
"G3601030","1820","New York","360","Suffolk","1030","Suffolk",11885,12045
"G3601050","1820","New York","360","Sullivan","1050","Sullivan",4627,4273
"G3601070","1820","New York","360","Tioga","1070","Tioga",8798,8173
"G3601090","1820","New York","360","Tompkins","1090","Tompkins",10572,10109
"G3601110","1820","New York","360","Ulster","1110","Ulster",15959,14975
"G3601130","1820","New York","360","Warren","1130","Warren",4815,4638
"G3601150","1820","New York","360","Washington","1150","Washington",19723,19108
